f1_macro,gamma,learning_rate,run_name,subtask,weight_decay
0.8049861132730892,2.454153413950087,3e-05,vibrant-sweep-1,c2a,0.08080964832276143
0.8373782307562363,0.5991901750340594,5e-05,helpful-sweep-2,c2a,0.02266266442255068
0.779450912289922,2.605447660534601,2e-05,resilient-sweep-3,c2a,0.03573032739250753
0.8210647172526051,1.0535434243938655,3e-05,mild-sweep-4,c2a,0.08417107337614343
0.821953921134249,1.562353704816564,5e-05,lucky-sweep-5,c2a,0.09563708066930682
0.8183990442054958,0.863553683425718,3e-05,desert-sweep-6,c2a,0.05688357102694421
0.7960287622147226,2.072563039272086,3e-05,wild-sweep-7,c2a,0.017288233981058134
0.8013071895424837,0.5946216557228052,1e-05,stilted-sweep-8,c2a,0.03765984569822114
0.7990008815750809,1.2204126621184574,1e-05,solar-sweep-9,c2a,0.0818163538042868
0.8218363360104189,0.9182745843579394,2e-05,zesty-sweep-10,c2a,0.01091750317680984
0.6192946778711486,1.7623287148359026,5e-05,azure-sweep-1,dbo,0.09035454605974898
0.5471773527933551,2.1620817669515384,1e-05,skilled-sweep-2,dbo,0.04707402620023493
0.565598380703382,2.449796539434991,2e-05,tough-sweep-3,dbo,0.02514327985771364
0.6688598486057893,1.537031438857423,3e-05,bumbling-sweep-4,dbo,0.02697230274594707
0.6107714161061644,0.5938929236445751,2e-05,olive-sweep-5,dbo,0.09691046197192388
0.48880431917583617,1.3724845835744424,0.0001,cerulean-sweep-6,dbo,0.09036813452064374
0.5599068316123437,1.9075306786936137,2e-05,charmed-sweep-7,dbo,0.07754930739081055
0.6040288789671916,2.983155803862259,3e-05,worldly-sweep-8,dbo,0.013818965489819956
0.5794210334006755,1.187357763734186,2e-05,tough-sweep-9,dbo,0.013890467737831882
0.508990451668276,2.7571659663767036,1e-05,snowy-sweep-10,dbo,0.06155411388754741
0.75054255210685,0.5191325114827803,3e-05,rich-sweep-1,vio,0.08113106416454527
0.7482110369921164,2.2730382333232892,5e-05,snowy-sweep-2,vio,0.04153826440210974
0.7169543782085775,2.673063110200761,1e-05,eager-sweep-3,vio,0.06795462851511103
0.738152400835073,2.0439906428151957,5e-05,lemon-sweep-4,vio,0.03716885032810446
0.7491549222912802,0.9867105076787264,3e-05,lilac-sweep-5,vio,0.03550424303892401
0.7438417014403016,2.5245772811291127,5e-05,honest-sweep-6,vio,0.08910470689352633
0.7379812390072309,1.2275091006305825,0.0001,laced-sweep-7,vio,0.05800008476841251
0.7328160640364958,2.938293497259526,0.0001,rosy-sweep-8,vio,0.08383758436333313
0.7296911098943657,2.9675084455410743,2e-05,feasible-sweep-9,vio,0.058960797250045265
0.7268168210070556,2.0457687577180987,5e-05,fearless-sweep-10,vio,0.04903855320284722
